"Individual"	"August_1m"	"August_2m"	"August_3m"	"August_4m"	"December_1m"	"December_2m"	"December_3m"	"December_4m"	"August_1t"	"August_2t"	"August_3t"	"August_4t"	"December_1t"	"December_2t"	"December_3t"	"December_4t"	"p.values"	"fc"
19	151	293	116	161	416	823	750	814	2296	3089	1916	2377	1455	2080	1896	1805	6.89088846728336e-06	5.21334534232895
20	1250	1210	935	889	2497	1474	2218	2195	6907	6022	6362	5488	8136	4593	8008	7269	3.64013123840978e-05	1.75439621987404
21	681	513	506	282	541	563	477	460	2137	1450	1677	1458	666	758	546	690	0.000174499556585069	2.67595874134644
22	4925	5209	4910	5416	4995	5421	5938	4567	12042	12030	12244	11774	19592	18070	20267	15696	0.00012664706949701	-1.49518672340813
23	833	623	1130	1091	791	823	887	672	2596	2711	2472	2791	1061	953	1057	849	0.00165706451278356	2.35078658622448
24	151	220	506	444	3164	3339	4334	2266	8914	8152	8586	6175	10273	8105	10494	8122	5.21929830063419e-06	8.01761752890956
25	1932	2017	2455	2505	1998	2818	3071	3151	9565	10906	13639	14238	19032	26847	24186	25010	0.00133627568851294	-1.60472455634877
27	454	220	350	282	1207	1127	1740	1451	14207	9569	10020	10881	16315	11505	15680	14094	0.000187464697015978	3.28547900458829
28	416	220	896	363	707	780	682	424	928	660	1519	1092	790	802	750	460	0.00199991115188738	2.19777893169475
29	227	110	116	121	416	433	443	318	9883	7860	7306	8083	8858	8031	8873	8386	0.000456447823831018	2.7717318391253
30	719	330	233	363	1124	737	819	1062	5216	4522	4676	4229	4496	3336	3470	4149	0.00143502732802597	2.88070962294962
32	909	1063	1247	1172	2497	3816	3754	2761	2859	3534	2886	2725	3790	5115	5512	4301	0.00220246535276615	1.85329007505204
33	644	366	428	242	1165	780	682	601	2104	1930	2122	1112	2290	1689	1636	1291	0.000257444974005285	2.04123737172567
34	113	183	233	161	1165	650	1228	885	549	531	623	404	1768	1040	1757	1257	0.00200979119856975	2.06913034318645
35	1515	1687	1208	1091	2497	3079	2935	3647	15785	17577	13727	14550	12067	11707	15951	14588	0.000288708611380653	2.5150215999584
36	7956	6823	6352	6224	1040	477	170	424	10665	8781	8402	8200	2081	910	494	849	0.00190577385051525	-1.62840374452698
37	189	110	77	202	291	390	580	354	1932	1897	1812	2464	1267	1172	1638	903	0.000264285617763618	4.49816528301894
38	2424	2898	2260	3233	4829	7762	7132	6692	12761	11500	12022	12882	11693	13837	15921	14088	2.27397177646527e-05	2.15807563421964
40	454	256	311	485	582	867	989	814	3418	3131	4212	3109	1955	1885	2590	1893	0.00078490308737825	3.50860897957776
41	227	146	194	80	1373	780	716	531	2470	2223	2292	1107	4770	3279	3349	2825	4.75901816657287e-05	2.95601587566395
43	1742	1504	1558	1212	2081	2125	2662	2691	5907	5529	5627	4773	5392	5273	6383	5665	0.00158185480352888	1.52598770249452
44	1326	1283	1169	2142	5204	6331	7440	8002	4787	3798	4462	4687	8517	9652	10720	11563	0.00123766158759446	2.02102982896924
46	530	843	857	848	999	1691	1160	1062	1422	2202	2435	1677	1415	2146	1689	1629	0.0021461064430253	1.7622245621636
47	795	733	935	1091	2456	2602	2081	3045	6120	6270	7032	7739	10408	11167	11133	12229	0.000556010476252991	1.72807236093903
48	303	146	77	161	624	433	477	672	568	403	234	303	665	455	546	866	0.00294817911203377	2.02305467245889
49	606	770	779	727	2081	2471	1774	2089	7872	7407	8204	7994	13343	13079	12155	12975	0.000149211175097381	1.77652634941265
50	3826	6749	7949	9457	2040	2862	2866	2195	8055	10851	12740	13747	8831	9029	9399	8711	0.000134194121380794	-2.17248838576704
51	189	110	194	242	416	520	341	318	2015	1393	1679	1515	1786	1845	1464	1239	0.00257310046382924	2.27489203283547
52	416	366	506	282	749	520	955	778	2193	2038	2042	1373	2165	1581	2353	2284	1.56500060711768e-05	1.72991797032007
53	2197	1724	1247	1050	1790	1257	1638	2266	6866	5785	5854	4434	3784	2687	3872	4443	0.00104865148187662	1.76796356157836
54	530	330	233	242	915	867	1058	920	1532	1191	1053	1194	1892	1777	1808	1629	0.0044744547931918	2.03199230909886
56	75	183	116	121	208	303	170	141	1037	1503	1016	1027	748	803	682	406	0.000164358692600579	2.93854982004743
57	947	256	818	282	4704	3599	3583	3363	1703	879	1343	585	5164	3817	3788	3593	0.00511150026733783	1.96909438158535
